ID,Target
AXM2EH3R,0
8ETNJAUW,0
VCSJTEPW,0
9EOYOOHV,0
S4B53OKJ,0
3DTSVD9Y,0
8WYWQUUX,0
FPQTNHGY,0
UXCKDQ34,0
CFTGOZHH,0
NC53B6U5,0
I5ZZZAKF,1
GJEWKC4X,0
G3SJCBSC,0
FSAU4BSS,0
USJEZVUD,0
JA3NRY7N,0
HU9VHTPB,0
WKCQCQYK,0
ENMYP3KT,0
4BSVQE3H,0
PTNU9IUC,0
9QRCQFD7,0
LQCBTXGY,0
9B9FFTXF,0
NPR9EABD,0
VQWU3GZN,1
9QTTMADO,0
D9G6TJ7W,0
PRHBFUUH,0
LNHLM9RT,0
5KIIRZUN,0
7Y7N24YS,0
92ZG7BUA,0
6PEIGSYF,0
GSPJMW4K,0
CSB2YC7Z,0
CUN7U6TX,0
2DVOJGPG,0
I6NTBYAJ,0
3Y9U2CG3,0
OTQJY2EA,0
X7LPPNKS,0
Z4FEVFZ5,0
BDBQR3CA,0
HDIXINFG,0
AIHUWXJ2,0
FS3NBPBX,0
IJWJJ3BG,1
KAVEBXPV,0
YDJCE5Y3,0
U4QXVIZG,0
FYGCSCRS,0
ZHJQKGEK,0
A4UZAA7X,0
2FGIEOGA,0
UH8T5ZQM,0
ATXQNAWJ,0
BKPPZFA4,0
O8JWREAF,1
GNGVAXMT,1
NZMNMVZ3,0
APFGMOBE,0
FF4EGJ27,0
O4DCRYGZ,0
NZEQLFUQ,0
L5MHHZWO,0
7WJS5ZHZ,0
6XKTR4QU,0
3FXBWDRO,1
F34CBD25,0
FKLXK4GQ,0
FQLQE6WH,0
BH3X92BU,0
NW9YNDCJ,0
VUVRQJMS,0
QGSAPI7F,0
GCQ9BVXL,1
SDUNZLNE,0
N39TJJFL,0
MOFBSWSS,0
BMZIZ3WM,0
PEDVGFY3,0
LFRQJF2X,0
VQPADYBU,0
C7HJK7TX,1
HMYNHFCU,0
GZEMQQ8R,0
58CUQ9GJ,0
NRUW57NH,0
PHONQIZF,0
3LDMFSWR,1
5WRKNKAY,0
GJEAA2QT,0
CWJ655NC,0
YFX7PGN3,0
SWF97DKX,1
D7SBYQTJ,0
FJRSVGEH,0
54FDOEXE,0
CISSCH5Z,0
JYZE6TLK,0
BDIKMFXO,0
EIFX5YTY,0
FZETGYFR,0
XPYSKZCJ,1
B2FWYYKM,0
I3GUQSIP,0
DWNQGLLK,1
GLJECQW3,0
GBGYQJJJ,0
YAZZRJXX,0
F2G2MSHP,0
RZQBRYFG,0
JHHUCL2Z,0
U9XAPAL3,0
XKTGHFQA,0
BZMKG3YA,0
ZE3GCXFT,1
HMI2LFZB,0
IBABV8Y9,0
W6DQ3ISQ,0
QMPKAWK2,0
HYZDOEXC,0
LROTR8YX,0
4HFZNGGJ,0
BOWRJ5GW,0
GZX4IAC9,0
K6XFTMMS,0
NNU8TEDQ,0
INGCDDUD,0
5SZUBXHI,0
HHVMHWWA,0
E6W2STZS,0
N4INBCGX,0
B9JA8NRY,0
TEITB9EN,0
K9R8S8UF,0
ZYYSH7XW,0
EABGKMRL,0
MW3GPFBZ,0
X3RVSYPH,0
G7CZNJMF,0
ZTJGEY8M,0
2ZM9YXXW,1
RCYHJNGK,0
DT4BLM2K,0
5CBCQCVT,0
QXAYCMYH,0
MKCZIKXZ,0
EVITMVHF,1
KSVVTKDX,0
TA2D5KIX,1
APXY5DBL,0
PKVVAMN3,0
YCBOBAWL,0
3UBUPT79,0
UMVEYZUW,0
YJCRUGXY,0
PTLBXNFS,0
8KAGYMYE,0
W8VSYU3A,0
8S9RDNEL,0
BGX4MPVV,1
F9FQCYPY,0
QVBW8A2Y,0
XN89DSSV,0
E75VJTZT,0
JJY8CAHT,0
J6GJAY7R,1
8U2G23IJ,0
