iter	Passed	Remaining
0	5	58038
1	34	174536
2	62	208665
3	75	189658
4	91	183870
5	120	200685
6	145	208148
7	154	193235
8	180	200426
9	192	192147
10	203	184489
11	206	172086
12	235	180894
13	261	186195
14	289	192712
15	317	198345
16	346	203354
17	374	207624
18	403	212033
19	428	213821
20	454	216004
21	480	217863
22	509	221003
23	536	223129
24	545	217601
25	573	220065
26	600	221846
27	630	224641
28	656	225692
29	685	227675
30	709	228118
31	743	231576
32	750	226553
33	777	227975
34	803	228747
35	832	230324
36	855	230358
37	883	231623
38	905	231189
39	915	227885
40	925	224914
41	951	225481
42	976	226162
43	1001	226636
44	1037	229416
45	1050	227261
46	1086	230071
47	1110	230334
48	1136	230741
49	1161	231220
50	1188	231789
51	1211	231819
52	1239	232706
53	1265	233068
54	1292	233676
55	1317	233884
56	1345	234735
57	1351	231732
58	1373	231437
59	1400	231934
60	1429	232961
61	1438	230532
62	1465	231180
63	1491	231542
64	1522	232780
65	1548	233076
66	1579	234170
67	1606	234598
68	1633	235132
69	1659	235386
70	1688	236104
71	1715	236592
72	1747	237625
73	1765	236862
74	1793	237381
75	1817	237352
76	1844	237754
77	1868	237619
78	1901	238850
79	1936	240111
80	1971	241430
81	2008	242895
82	2037	243452
83	2060	243206
84	2085	243304
85	2111	243368
86	2139	243825
87	2170	244457
88	2199	244918
89	2225	245056
90	2254	245537
91	2282	245840
92	2314	246537
93	2339	246588
94	2368	246959
95	2397	247291
96	2429	248013
97	2471	249723
98	2502	250320
99	2530	250523
100	2559	250896
101	2583	250668
102	2610	250813
103	2633	250595
104	2661	250776
105	2683	250482
106	2709	250498
107	2740	251040
108	2803	254442
109	2828	254333
110	2858	254655
111	2888	255044
112	2920	255520
113	2944	255321
114	2972	255469
115	2997	255431
116	3042	257000
117	3073	257408
118	3101	257505
119	3126	257381
120	3154	257556
121	3180	257500
122	3205	257435
123	3231	257366
124	3257	257381
125	3283	257291
126	3311	257471
127	3337	257411
128	3363	257379
129	3388	257252
130	3414	257213
131	3438	257048
132	3462	256910
133	3486	256721
134	3511	256628
135	3537	256566
136	3570	257039
137	3595	256927
138	3623	257068
139	3647	256880
140	3673	256886
141	3696	256624
142	3725	256765
143	3747	256517
144	3774	256560
145	3801	256550
146	3833	256924
147	3858	256848
148	3889	257166
149	3919	257348
150	3946	257412
151	3973	257452
152	4004	257732
153	4028	257539
154	4055	257608
155	4077	257309
156	4103	257277
157	4126	257033
158	4153	257043
159	4176	256842
160	4203	256901
161	4227	256755
162	4273	257877
163	4306	258302
164	4339	258648
165	4363	258495
166	4389	258448
167	4414	258336
168	4440	258288
169	4465	258211
170	4493	258257
171	4517	258143
172	4543	258114
173	4568	257985
174	4595	258006
175	4617	257746
176	4646	257842
177	4670	257725
178	4696	257688
179	4723	257704
180	4748	257594
181	4773	257487
182	4799	257474
183	4821	257238
184	4848	257214
185	4873	257128
186	4901	257212
187	4926	257125
188	4954	257171
189	4978	257027
190	5006	257107
191	5030	256968
192	5058	257041
193	5082	256926
194	5107	256831
195	5130	256627
196	5157	256656
197	5182	256575
198	5210	256643
199	5235	256558
200	5260	256444
201	5283	256288
202	5311	256326
203	5333	256120
204	5359	256069
205	5383	255965
206	5410	255966
207	5435	255890
208	5463	255962
209	5490	255940
210	5517	255981
211	5541	255871
212	5569	255895
213	5592	255720
214	5619	255750
215	5643	255633
216	5668	255556
217	5690	255342
218	5717	255348
219	5741	255227
220	5765	255122
221	5787	254914
222	5814	254911
223	5838	254792
224	5865	254809
225	5888	254684
226	5914	254652
227	5938	254506
228	5964	254513
229	5988	254399
230	6015	254414
231	6040	254321
232	6067	254320
233	6092	254255
234	6119	254281
235	6144	254198
236	6170	254179
237	6193	254049
238	6220	254042
239	6243	253914
240	6270	253923
241	6294	253808
242	6321	253812
243	6345	253706
244	6372	253743
245	6395	253571
246	6422	253588
247	6446	253496
248	6471	253445
249	6495	253312
250	6522	253349
251	6544	253173
252	6570	253144
253	6594	253018
254	6617	252903
255	6641	252784
256	6665	252709
257	6690	252636
258	6719	252713
259	6743	252615
260	6767	252536
261	6791	252434
262	6816	252351
263	6837	252161
264	6863	252139
265	6887	252053
266	6914	252066
267	6937	251914
268	6964	251926
269	6987	251815
270	7014	251838
271	7037	251703
272	7063	251669
273	7087	251591
274	7114	251576
275	7139	251530
276	7163	251442
277	7188	251387
278	7214	251361
279	7238	251285
280	7264	251251
281	7287	251130
282	7313	251110
283	7337	251027
284	7366	251095
285	7394	251156
286	7422	251189
287	7448	251188
288	7478	251284
289	7505	251317
290	7538	251510
291	7564	251495
292	7594	251592
293	7620	251578
294	7645	251527
295	7667	251364
296	7695	251410
297	7720	251360
298	7747	251361
299	7770	251248
300	7797	251257
301	7819	251089
302	7846	251101
303	7869	250999
304	7896	251000
305	7921	250943
306	7946	250893
307	7972	250876
308	7999	250883
309	8023	250800
310	8051	250835
311	8075	250746
312	8102	250766
313	8126	250682
314	8153	250703
315	8176	250564
316	8202	250537
317	8224	250409
318	8252	250445
319	8274	250318
320	8301	250319
321	8326	250263
322	8370	250764
323	8393	250669
324	8421	250690
325	8444	250593
326	8470	250575
327	8495	250517
328	8521	250502
329	8546	250446
330	8574	250472
331	8599	250413
332	8626	250420
333	8651	250375
334	8678	250380
335	8702	250314
336	8730	250337
337	8754	250252
338	8780	250233
339	8807	250224
340	8832	250174
341	8856	250110
342	8882	250086
343	8904	249948
344	8928	249867
345	8952	249792
346	8976	249710
347	9000	249635
348	9027	249640
349	9049	249509
350	9080	249610
351	9107	249634
352	9138	249752
353	9164	249729
354	9195	249838
355	9222	249841
356	9251	249894
357	9279	249911
358	9307	249962
359	9331	249870
360	9358	249887
361	9382	249807
362	9407	249750
363	9431	249687
364	9457	249662
365	9481	249573
366	9507	249556
367	9531	249479
368	9559	249511
369	9583	249433
370	9613	249504
371	9638	249473
372	9665	249474
373	9691	249427
374	9720	249487
375	9743	249404
376	9770	249401
377	9793	249288
378	9821	249310
379	9846	249270
380	9874	249295
381	9900	249270
382	9928	249298
383	9952	249237
384	9979	249225
385	10014	249416
386	10042	249443
387	10066	249388
388	10093	249383
389	10118	249333
390	10144	249311
391	10168	249234
392	10195	249243
393	10217	249103
394	10244	249108
395	10269	249055
396	10296	249058
397	10321	249017
398	10350	249050
399	10374	248993
400	10402	249017
401	10428	248998
402	10457	249027
403	10484	249025
404	10511	249043
405	10538	249029
406	10566	249054
407	10590	248977
408	10617	248985
409	10640	248877
410	10666	248848
411	10690	248798
412	10718	248805
413	10742	248744
414	10767	248695
415	10792	248640
416	10818	248616
417	10841	248526
418	10868	248516
419	10892	248445
420	10919	248447
421	10943	248370
422	10969	248361
423	10993	248296
424	11019	248273
425	11044	248215
426	11072	248231
427	11097	248190
428	11121	248124
429	11146	248082
430	11174	248083
431	11197	248011
432	11222	247950
433	11248	247937
434	11291	248293
435	11324	248409
436	11352	248438
437	11376	248365
438	11403	248363
439	11425	248237
440	11452	248236
441	11476	248180
442	11502	248147
443	11527	248091
444	11554	248097
445	11579	248047
446	11604	248009
447	11629	247950
448	11656	247961
449	11679	247871
450	11707	247874
451	11730	247802
452	11757	247785
453	11779	247685
454	11806	247686
455	11831	247637
456	11857	247612
457	11883	247583
458	11911	247605
459	11935	247529
460	11964	247565
461	11988	247495
462	12013	247454
463	12036	247363
464	12065	247399
465	12091	247373
466	12121	247446
467	12151	247489
468	12182	247574
469	12205	247491
470	12234	247524
471	12261	247521
472	12291	247570
473	12317	247538
474	12344	247530
475	12367	247447
